type	name	value	zone	address	bytes	access	other
Factory	ADC_HTRH	---	Memory	0x5408	1	readWrite	strong	
Factory	ADC_HTRL	---	Memory	0x5409	1	readWrite	strong	
Factory	ADC_LTRH	---	Memory	0x540a	1	readWrite	strong	
Factory	ADC_LTRL	---	Memory	0x540b	1	readWrite	strong	
Factory	ADC_AWSRH	---	Memory	0x540c	1	readWrite	strong	
Factory	ADC_AWSRL	---	Memory	0x540d	1	readWrite	strong	
Factory	ADC_AWCRH	---	Memory	0x540e	1	readWrite	strong	
Factory	ADC_AWCRL	---	Memory	0x540f	1	readWrite	strong	
Factory	CPU_A	---	Memory	0x7f00	1	readWrite	strong	
Factory	CPU_PCE	---	Memory	0x7f01	1	readWrite	strong	
Factory	CPU_PCH	---	Memory	0x7f02	1	readWrite	strong	
Factory	CPU_PCL	---	Memory	0x7f03	1	readWrite	strong	
Factory	CPU_XH	---	Memory	0x7f04	1	readWrite	strong	
Factory	CPU_XL	---	Memory	0x7f05	1	readWrite	strong	
Factory	CPU_YH	---	Memory	0x7f06	1	readWrite	strong	
Factory	CPU_YL	---	Memory	0x7f07	1	readWrite	strong	
Factory	CPU_SPH	---	Memory	0x7f08	1	readWrite	strong	
Factory	CPU_SPL	---	Memory	0x7f09	1	readWrite	strong	
Factory	CPU_CCR	---	Memory	0x7f0a	1	readWrite	strong	
Factory	CPU_CFG_GCR	---	Memory	0x7f60	1	readWrite	strong	
Factory	SWIM_CSR	---	Memory	0x7f80	1	readWrite	strong	
Factory	DM_BK1RE	---	Memory	0x7f90	1	readWrite	strong	
Factory	DM_BK1RH	---	Memory	0x7f91	1	readWrite	strong	
Factory	DM_BK1RL	---	Memory	0x7f92	1	readWrite	strong	
Factory	DM_BK2RE	---	Memory	0x7f93	1	readWrite	strong	
Factory	DM_BK2RH	---	Memory	0x7f94	1	readWrite	strong	
Factory	DM_BK2RL	---	Memory	0x7f95	1	readWrite	strong	
Factory	DM_CR1	---	Memory	0x7f96	1	readWrite	strong	
Factory	DM_CR2	---	Memory	0x7f97	1	readWrite	strong	
Factory	DM_CSR1	---	Memory	0x7f98	1	readWrite	strong	
Factory	DM_CSR2	---	Memory	0x7f99	1	readWrite	strong	
Factory	DM_ENFCTR	---	Memory	0x7f9a	1	readWrite	strong	
Factory	OPT0	---	Memory	0x4800	1	readWrite	strong	
Factory	OPT1	---	Memory	0x4801	1	readWrite	strong	
Factory	NOPT1	---	Memory	0x4802	1	readWrite	strong	
Factory	OPT2	---	Memory	0x4803	1	readWrite	strong	
Factory	NOPT2	---	Memory	0x4804	1	readWrite	strong	
Factory	OPT4	---	Memory	0x4807	1	readWrite	strong	
Factory	NOPT4	---	Memory	0x4808	1	readWrite	strong	
Factory	OPT5	---	Memory	0x4809	1	readWrite	strong	
Factory	NOPT5	---	Memory	0x480a	1	readWrite	strong	
Factory	OPT3	---	Memory	0x4805	1	readWrite	strong	
Factory	NOPT3	---	Memory	0x4806	1	readWrite	strong	
